year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,mapped_Category
1939,1940,12,ACTOR,ACTOR IN A LEADING ROLE,Robert Donat,"Goodbye, Mr. Chips",TRUE,Actor in a Leading Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1939,1940,12,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,Stagecoach,TRUE,Actor in a Supporting Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1939,1940,12,ACTRESS,ACTRESS IN A LEADING ROLE,Vivien Leigh,Gone with the Wind,TRUE,Actress in a Leading Role
,,,,,,,,
,,,,,,,,
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind,TRUE,Actress in a Supporting Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1939,1940,12,DIRECTING,DIRECTING,Victor Fleming,Gone with the Wind,TRUE,Directing
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1939,1940,12,OUTSTANDING PRODUCTION,BEST PICTURE,Selznick International Pictures,Gone with the Wind,TRUE,Best Picture
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1939,1940,12,WRITING (Screenplay),WRITING (Adapted Screenplay),Sidney Howard,Gone with the Wind,TRUE,Writing (Adapted Screenplay)
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1940,1941,13,ACTOR,ACTOR IN A LEADING ROLE,James Stewart,The Philadelphia Story,TRUE,Actor in a Leading Role
,,,,,,,,
1940,1941,13,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Walter Brennan,The Westerner,TRUE,Actor in a Supporting Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1940,1941,13,ACTRESS,ACTRESS IN A LEADING ROLE,Ginger Rogers,Kitty Foyle,TRUE,Actress in a Leading Role
,,,,,,,,
,,,,,,,,
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Jane Darwell,The Grapes of Wrath,TRUE,Actress in a Supporting Role
,,,,,,,,
,,,,,,,,
